Wet clay;Modelling;Coiling;Pressure;Application separate element;Wet smoothing;Simple impression;Leather-hard;Burnishing;Dry;Open firing;;
Wet clay;Modelling;Coiling;Pressure;Wet smoothing;Simple impression;Leather-hard;Shining;Dry;Open firing;Smudging;;
Wet clay;Modelling;Coiling;Pressure;Wet smoothing;Simple incision;Leather-hard;Shining;Dry;Open firing;Smudging;;
Wet clay;Modelling;Coiling;Pressure;Scraping;Wet smoothing;Simple impression;Leather-hard;Dry;Open firing;;;
Wet clay;Modelling;Coiling;Pressure;Scraping;Wet smoothing;Simple impression;Leather-hard;Shining;Dry;Open firing;;
Wet clay;Modelling;Coiling;Pressure;Scraping;Wet smoothing;Simple incision;Leather-hard;Shining;Dry;Open firing;;
Wet clay;Modelling;Coiling;Pressure;Wet smoothing;Simple incision;Leather-hard;Shining;Dry;Open firing;;;
Wet clay;Modelling;Coiling;Pressure;Scraping;Wet smoothing;Simple incision;Leather-hard;Shining;Dry;Open firing;;
Wet clay;Modelling;Coiling;Pressure;Scraping;Wet smoothing;Simple incision;Leather-hard;Shining;Dry;Open firing;;
Wet clay;Modelling;Coiling;Pressure;Wet smoothing;Simple incision;Tilted impression;Leather-hard;Burnishing;Dry;Open firing;;
Wet clay;Modelling;Coiling;Pressure;Wet smoothing;Simple incision;Leather-hard;Dry;Open firing;;;;
Wet clay;Modelling;Coiling;Pressure;Wet smoothing;Simple impression;Leather-hard;Shining;Dry;Open firing;;;
Wet clay;Modelling;Coiling;Pressure;Wet smoothing;Simple incision;Tilted impression;Leather-hard;Shining;Dry;Open firing;;
Wet clay;Modelling;Coiling;Pressure;Scraping;Wet smoothing;Simple incision;Simple impression;Leather-hard;Shining;Dry;Open firing;
Wet clay;Modelling;Coiling;Pressure;Wet smoothing;Simple impression;Leather-hard;Burnishing;Dry;Open firing;;;
Wet clay;Modelling;Coiling;Pressure;Wet smoothing;Simple incision;Simple impression;Leather-hard;Shining;Dry;Open firing;;
Wet clay;Modelling;Coiling;Pressure;Scraping;Wet smoothing;Simple incision;Leather-hard;Dry;Open firing;;;
Wet clay;Modelling;Coiling;Pressure;Wet smoothing;Simple incision;Leather-hard;Burnishing;Shining;Dry;Open firing;;
Wet clay;Modelling;Coiling;Pressure;Scraping;Wet smoothing;Simple impression;Leather-hard;Shining;Dry;Open firing;;
Wet clay;Modelling;Coiling;Pressure;Scraping;Wet smoothing;Simple incision;Simple impression;Leather-hard;Burnishing;Dry;Open firing;
Wet clay;Modelling;Coiling;Pressure;Scraping;Wet smoothing;Tilted impression;Simple incision;Leather-hard;Dry;Open firing;;
Wet clay;Coiling;Pressure;Scraping;Wet smoothing;Simple incision;Leather-hard;Shining;Dry;Open firing;Smudging;;
